basin_id,cluster
4070025450.0,3
4070922800.0,3
4070842610.0,1
4070891490.0,1
4070826770.0,1
4070903120.0,3
4070844220.0,3
4070865260.0,1
4070842630.0,1
4070818150.0,1
4070805100.0,1
4070915780.0,1
4070830780.0,1
4070855110.0,1
4070895600.0,1
4070897340.0,1
4070855950.0,1
4070747320.0,3
4070766840.0,0
4070878220.0,1
4070808810.0,1
4070744060.0,1
4070750870.0,1
4070736160.0,0
4070051550.0,0
4070053370.0,1
4070061740.0,2
4070766841.0,1
4070053371.0,3
4070053372.0,1
4070053373.0,1
